cnpj;razao_social;nome_fantasia;end_logradouro;end_numero;end_complemento;end_bairro;mun_descricao;end_uf;end_cep;telefone1;telefone2;telefone3;qtde_func;faixa_faturamento;cnae;cnae_denominacao;pri_produto;e-mail;site;principal_executivo;cargo;cadastro;atualizacao;Endereço;geolocalizacao;latitude;longitude
05.746.147/0002-20;Sousa e Reale Ltda;Marmoraria Brasil;Rodovia BA-522;9620;Terreo, Quadra 0;Distrito Industrial;Candeias;BA;43813300;(71) 3396-2442;;;0;0,00 a 120.000,00;C2391503;Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras;Bancada, Soleira;marmoraria_brasil@hotmail.com;;Adneia Reale dos Santos;Socia Administradora;2018-08-21 00:00:00;2022-08-16 00:00:00;Rodovia BA-522, 9620, Terreo, Quadra 0, Distrito Industrial, Candeias, BA;BA-522, 9620 - Quadra 0 - Candeias, BA, Brazil;-12.6655422;-38.5195736
58.681.867/0005-63;Viapol Ltda;Viapol;Rod BA-522 Km 03;S/N;;Distrito Industrial;Candeias;BA;43813300;(71) 3118-2020;(71) 3118-2001;(71) 3118-2017;83;50.000.001,00 a 100.000.000,00;C2073800;Fabricação de impermeabilizantes, solventes e produtos afins;Argamassa polimerica, Aditivo, Emulsao asfaltica, Primer, Manta asfaltica;viapol@viapol.com.br;www.viapol.com.br;Ariovaldo Jose Torelli;Presidente;2020-09-04 00:00:00;2022-11-29 00:00:00;Rod BA-522 Km 03, S/N, Distrito Industrial, Candeias, BA;BA-522, Bahia, Brazil;-12.6678095;-38.5497377
60.869.336/0228-62;CSN Cimentos Brasil S/A;;Via das Torres;7296;;Distrito Industrial;Candeias;BA;43813100;(71) 3602-8601;;;61;50.000.001,00 a 100.000.000,00;C2320600;Fabricação de cimento;Producao de cimento (aplicacoes diversas), Concreto, Agregados para construcao civil;cynthia.pimentel@csn.com.br;www.csn.com.br/cimento;Edvaldo Araujo Rabelo;Diretor Operacional;2021-06-01 00:00:00;2023-05-19 00:00:00;Via das Torres, 7296, Distrito Industrial, Candeias, BA;Distrito Industrial, Candeias - BA, 43820-270, Brazil;-12.6654769;-38.5311981
10.904.646/0001-57;Fortal Industria e Comercio S/A;Fortal;Via das Torres;S/N;;Distrito Industrial;Candeias;BA;43813100;(71) 99201-1163;(11) 3048-8729;;140;25.000.001,00 a 50.000.000,00;C2032100;Fabricação de resinas termofixas;Acido cloridrico, Hidroxipropilmetilcelulose (HPMC), Cloreto de metila, Sulfato de potassio, Propilenoglicol, Propilenoglicol metil eter;jair.vacaro@formitex.com.br;https://fortalquimica.com.br/;Ronaldo Isac Werthjam;Socio Diretor;2021-06-29 00:00:00;2023-12-27 00:00:00;Via das Torres, S/N, Distrito Industrial, Candeias, BA;Distrito Industrial, Candeias - BA, 43820-270, Brazil;-12.6654769;-38.5311981
13.776.699/0001-28;Valobras Industria Ltda;;Via Matoim;S/N;BA-524 Km 21;Distrito Industrial;Candeias;BA;43813000;(71) 4009-4914;;;69;25.000.001,00 a 50.000.000,00;C2320600;Fabricação de cimento;Cimento;administrativo@valobras.com.br;http://valobras.com.br/;Flavio Luiz Marques Gomes;Socio;2022-08-24 00:00:00;2023-10-26 00:00:00;Via Matoim, S/N, BA-524 Km 21, Distrito Industrial, Candeias, BA;BA-524, Candeias - BA, Brazil;-12.7101339;-38.4477439
32.176.970/0001-39;F A Garcia Industria de Parafinas;FMG Parafinas;Rodovia BA-522;4252;Galpao C;Distrito Industrial;Candeias;BA;43813300;(14) 99745-4235;(14) 99724-4451;(71) 3602-9576;14;25.000.001,00 a 50.000.000,00;C1922599;Fabricação de outros produtos derivados do petróleo, exceto produtos do refino;Parafina a granel, Parafina em tablete, Parafina em lentilha, Vela;financeiro@fmgparafinas.com.br;https://fmgparafinas.com.br/;Fernando Augusto Garcia;Diretor;2023-09-28 00:00:00;;Rodovia BA-522, 4252, Galpao C, Distrito Industrial, Candeias, BA;BA-522, 4252 - Candeias, BA, Brazil;-12.6698564;-38.5140057
12.626.311/0001-40;Otacisio de Oliveira Damiao;Oliveira Pre-Moldados;Rua Walter Ernesto;09;Galpao;Alegre/CIA Sul;Simoes Filho;BA;43700000;(71) 3397-3589;(71) 3397-3428;(71) 98547-3219;13;720.001,00 a 1.500.000,00;C2330302;Fabricação de artefatos de cimento para uso na construção;Bloco, Laje, Estaca, Poste, Cobogo, Calha;damiao2009dmc@hotmail.com;;Otacisio de Oliveira Damiao;Socio Majoritario;2018-12-14 00:00:00;2022-12-29 00:00:00;Rua Walter Ernesto, 09, Galpao, Alegre/CIA Sul, Simoes Filho, BA;R. Walter Ernesto, 9, Simões Filho - BA, 43700-000, Brazil;-12.8352631;-38.3992156
23.647.365/0007-01;Bauminas Quimica N/NE Ltda;Bauminas Quimica N/NE Ltda;Via Periferica II;2485-A;;CIA;Simoes Filho;BA;43700971;(71) 3594-2050;(71) 3594-2053;(71) 3594-2055;92;100.000.001,00 a 250.000.000,00;C2099199;Fabricação de outros produtos químicos não especificados anteriormente;Sulfato de aluminio liquido, Policloreto de aluminio, Sulfato ferrico, Sulfato de aluminio solido;luiz.carlos@bauminas.com.br;www.bauminas.com.br;Luiz Carlos dos Santos;Gerente Regional;2015-09-01 00:00:00;2023-11-24 00:00:00;Via Periferica II, 2485-A, CIA, Simoes Filho, BA;Via Periférica 2, 2485 - a, Simões Filho - BA, 43700-000, Brazil;-12.8095229;-38.4457904
09.571.106/0001-10;Industria Metalurgica Lugger Ltda;Lugger Metalurgica;Via Periferica II;1005;;CIA;Simoes Filho;BA;43700000;(71) 99194-2689;(71) 99367-0174;;25;720.001,00 a 1.500.000,00;C3102100;Fabricação de móveis com predominância de metal;Estrutura porta-paletes, Arquivo deslizante, Gondola para mercado;atendimento@lugger.com.br;www.lugger.com.br;Catiane Monteiro da Cruz;Socia Administradora;2017-10-18 00:00:00;2023-12-28 00:00:00;Via Periferica II, 1005, CIA, Simoes Filho, BA;Via Periférica 2, 1005 - Cia Sul, Simões Filho - BA, 43700-000, Brazil;-12.817831;-38.436831
02.271.201/0006-63;Asperbras Tubos e Conexoes Ltda;Asperbras Rotomoldagem;Via de Penetracao I;590-B;;CIA;Simoes Filho;BA;43700000;(71) 2106-4000;(71) 2106-4020;(71) 2106-4009;120;6.000.001,00 a 12.000.000,00;C2221800;Fabricação de laminados planos e tubulares de material plástico;Poco de visita em PVC, Tubo de PVC;sergio.assi@asperbras.com;www.asperbrasrotomoldagem.com.br;Francisco Carlos Jorge Colnag;Diretor;2015-05-21 00:00:00;2023-08-10 00:00:00;Via de Penetracao I, 590-B, CIA, Simoes Filho, BA;Via de Penetração - Polo Hab. Litoral Norte, Lauro de Freitas - BA, 42700-000, Brazil;-12.8796444;-38.3351696
10.878.318/0001-23;Vera Cruz Tecnologia, Industria, Com e Servicos de Usinagem Ltda;Vera Cruz;Via Periferica I, Penetracao C;S/N;Galpao B Fundos;CIA;Simoes Filho;BA;43700000;(71) 2109-3550;(71) 2109-3557;(71) 2109-3563;23;720.001,00 a 1.500.000,00;C2539001;Serviços de usinagem, tornearia e solda;Servico de usinagem, caldeiraria e manutencao, Fabricacao de peca sob desenho e amostra;comercial@veracruzusinagem.com.br;www.veracruzusinagem.com.br;Paulo Sergio Ramos Tavares;Proprietario;2013-10-22 00:00:00;2023-11-03 00:00:00;Via Periferica I, Penetracao C, S/N, Galpao B Fundos, CIA, Simoes Filho, BA;Rod. Eng. Vasco Filho, 1994 - Lot. Recanto dos Eucaliptos, Simões Filho - BA, 43700-000, Brazil;-12.7836011;-38.412831
97.519.408/0001-06;WPC Nordeste Industria e Comercio de Artefatos Plasticos Ltda;WPC Nordeste;Acesso Via Centro;4370;Anexo CIA;CIA;Simoes Filho;BA;43700971;(71) 99192-8547 ;(71) 99281-8692;;13;3.000.001,00 a 6.000.000,00;C2229303;Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios;Perfil, Deck de piscina, Porta, Janela;carloshenrique@wpcnordeste.com.br;;Carlos Eduardo Barbosa Silva;Socio;2013-10-23 00:00:00;2023-03-06 00:00:00;Acesso Via Centro, 4370, Anexo CIA, CIA, Simoes Filho, BA;Via Centro, 4370, Simões Filho - BA, 43700-000, Brazil;-12.8196215;-38.4158574
11.036.931/0001-66;Plataforma Ambiental Ltda;;Via Periferica Waldir Beira;S/N;;CIA;Simoes Filho;BA;43700000;(71) 4117-1738;(71) 98219-1020;(71) 99622-2207;19;1.500.001,00 a 3.000.000,00;E3822000;Tratamento e disposição de resíduos perigosos;Tratamento de efluentes liquido industriais;contato@eccomar.com.br;;Andre Micucci Cohim Ribeiro;Socio Administrador;2013-10-25 00:00:00;2022-10-05 00:00:00;Via Periferica Waldir Beira, S/N, CIA, Simoes Filho, BA;Rod. Eng. Vasco Filho, 1994 - Lot. Recanto dos Eucaliptos, Simões Filho - BA, 43700-000, Brazil;-12.7836011;-38.412831
61.480.380/0007-99;Rohr S/A Estruturas Tubulares;ROHR;Via Periferica I;6842;;CIA;Simoes Filho;BA;43700000;(71) 3295-4100;;;23;12.000.001,00 a 25.000.000,00;F4299599;Outras obras de engenharia civil não especificadas anteriormente;Locacao de equipamentos e mao de obra especializada para montagem de estruturas tubulares;mauricio@rohr.com.br;www.rohr.com.br;Mauricio Carvalho;Gerente de Filial;2012-12-05 00:00:00;2022-02-03 00:00:00;Via Periferica I, 6842, CIA, Simoes Filho, BA;Via periferica I, 6842, Simões Filho - BA, 43700-000, Brazil;-12.8396052;-38.415459
09.075.402/0001-20;Rei Moveis Planejados Industria e Comercio Ltda;Rei Moveis;Via Centro Sul;394;;CIA;Simoes Filho;BA;43700000;(71) 3594-8745;;;31;6.000.001,00 a 12.000.000,00;C3101200;Fabricação de móveis com predominância de madeira;Movel residencial;rei-moveis@hotmail.com;www.reimoveisbahia.com.br;Sergio Luis Scopel;Proprietario;2010-05-26 00:00:00;2023-02-06 00:00:00;Via Centro Sul, 394, CIA, Simoes Filho, BA;Via Centro, 394 - Conj. Hab. Cia II, Simões Filho - BA, 43700-000, Brazil;-12.8192886;-38.4106828
06.175.138/0001-08;Cabra Forte Alimentos Ltda;Cabra Forte;Rod BR-324 Km 15,5;S/N;Fundos ;CIA;Simoes Filho;BA;43700000;(71) 99700-9666;(71) 99991-9666;;121;25.000.001,00 a 50.000.000,00;C1011201;Frigorífico - abate de bovinos;Abate de equideos, bovinos e caprinos;reginaldo@frimasa.com.br;www.cabraforte.com;Reginaldo Pinheiro da Silva Filho;Socio Diretor;2010-12-22 00:00:00;2023-05-16 00:00:00;Rod BR-324 Km 15,5, S/N, Fundos , CIA, Simoes Filho, BA;Rod. Eng. Vasco Filho, 1994 - Lot. Recanto dos Eucaliptos, Simões Filho - BA, 43700-000, Brazil;-12.7836011;-38.412831
14.998.371/0032-15;J. Macedo S/A - Filial Simoes Filho;;Via Centro;374;BR-324 Km 20;CIA;Simoes Filho;BA;43780000;(85) 4006-8150;(85) 4006-6930;;650;100.000.001,00 a 250.000.000,00;C1094500;Fabricação de massas alimentícias;Massa, Biscoito, Salgadinho;mayrasilva@jmacedo.com.br;www.jmacedo.com.br;Irineu Jose Pedrollo;Presidente;2000-09-14 00:00:00;2023-08-17 00:00:00;Via Centro, 374, BR-324 Km 20, CIA, Simoes Filho, BA;Rod. Eng. Vasco Filho, 374 - Lot. Recanto dos Eucaliptos, Simões Filho - BA, 43700-000, Brazil;-12.786993;-38.4081927
01.555.700/0001-05;M4 Empreendimentos & Turismo Ltda;M4 Estruturas Tubulares;Lote 01 A Quadra 10 Dica;S/N;;CIA;Simoes Filho;BA;43700000;(71) 2109-8144;(71) 2109-8106;;5;120.001,00 a 720.000,00;F4399102;Montagem e desmontagem de andaimes e outras estruturas temporárias;Montagem de estrutura para eventos, Cerca modulada;diretoria@m4net.com.br;www.m4net.com.br;Paulo Medrado;Diretor;2001-06-20 00:00:00;2023-07-14 00:00:00;Lote 01 A Quadra 10 Dica, S/N, CIA, Simoes Filho, BA;Rod. Eng. Vasco Filho, 1994 - Lot. Recanto dos Eucaliptos, Simões Filho - BA, 43700-000, Brazil;-12.7836011;-38.412831
00.331.788/0021-62;Air Liquide Brasil Ltda;Air Liquide;Via de Penetracao I;890;;CIA;Simoes Filho;BA;43700000;(71) 3296-8250;(71) 3191-1991;(71) 99105-8932;34;25.000.001,00 a 50.000.000,00;C2014200;Fabricação de gases industriais;Oxigenio industrial, Oxigenio medicinal, Gas especial;cristiana.silva@airliquide.com;www.airliquide.com.br;Fernando Bononi Junior;Diretor Administrativo Financeiro;2000-09-15 00:00:00;2023-02-24 00:00:00;Via de Penetracao I, 890, CIA, Simoes Filho, BA;Simoes Filho, Simões Filho - State of Bahia, Brazil;-12.7862756;-38.402154
16.400.178/0001-60;Santeno Irrigacoes do Nordeste Ltda;Santeno;Dica Quadra 06 Lote 10;S/N;;CIA;Simoes Filho;BA;43700000;(71) 3082-1313 ;(71) 3082-1300;(71) 3082-1301;80;100.000.001,00 a 250.000.000,00;C2229399;Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;Mangueira para irrigacao, Mulching, Composto de resina termoplastica, Kit jardim (mangueiras e conexoes), Kit irrigacao por microaspersao (mangueiras microperfuradas com filme agricola e conexoes), Geomembrana, Silo bolsa;marlon@santeno.com.br;www.santeno.com.br;Carlos Ferreira;Gerente Industrial;2000-09-19 00:00:00;2022-10-07 00:00:00;Dica Quadra 06 Lote 10, S/N, CIA, Simoes Filho, BA;Simoes Filho, Simões Filho - State of Bahia, Brazil;-12.7862756;-38.402154
59.320.820/0013-47;Greif Embalagens Industriais do Brasil Ltda;Greif Embalagens;Via Periferica I;2981;;CIA;Simoes Filho;BA;43700000;(71) 3594-8077;(71) 3507-0512;;37;25.000.001,00 a 50.000.000,00;C2591800;Fabricação de embalagens metálicas;Tambor de aco;tatiana.leal@greif.com;www.greif.com.br;Amanda Monique Abreu de Lima Santana;Coordenador da Planta;2000-08-11 00:00:00;2023-02-01 00:00:00;Via Periferica I, 2981, CIA, Simoes Filho, BA;Via Periferica I, 2981 - A Definir, Simões Filho - BA, 43700-000, Brazil;-12.8237097;-38.4318736
